id,flag_reason,num_emotions,word_count,char_count,emotion_tags,clean_text,original_text
4a94acbd,long_expressive:curious=0.7,2,52,275,[confused=0.6] [curious=0.7],"[confused=0.6, curious=0.7] You have heard him call me son; with what words shall I overthrow his confidence in the truth and rectitude of his long buried wife and make him know in his old age that he has wasted years of patience upon one who was not of his blood or lineage?","[confused=0.6, curious=0.7] You have heard him call me son; with what words shall I overthrow his confidence in the truth and rectitude of his long buried wife and make him know in his old age that he has wasted years of patience upon one who was not of his blood or lineage?"
c9c3d4a0,long_expressive:excited=0.6,1,65,361,[excited=0.6],"Harold, it further appeared, greatly coveting tadpoles, and top heavy with the eagerness of possession, had fallen into the pond. This, in itself, was nothing; but on attempting to sneak in by the back door, he had rendered up his duckweed bedabbled person into the hands of an aunt, and had been promptly sent off to bed; and this, on a holiday, was very much.","[excited=0.6] Harold, it further appeared, greatly coveting tadpoles, and top heavy with the eagerness of possession, had fallen into the pond. This, in itself, was nothing; but on attempting to sneak in by the back door, he had rendered up his duckweed bedabbled person into the hands of an aunt, and had been promptly sent off to bed; and this, on a holiday, was very much."
e54da54d,long_expressive:happy=0.6,1,62,381,[happy=0.6],"The latter stream traverses dreary plains, where almost nothing but sagebrush grows; the Maumee waters a smiling valley, where orchards, fields, and meadows alternate with sugar maple groves, and in its fair bosom reflects beautiful landscape views, that are changed and rebeautified by the master hand of the sun every hour of the day, and doubly embellished at night by the moon.","[happy=0.6] The latter stream traverses dreary plains, where almost nothing but sagebrush grows; the Maumee waters a smiling valley, where orchards, fields, and meadows alternate with sugar maple groves, and in its fair bosom reflects beautiful landscape views, that are changed and rebeautified by the master hand of the sun every hour of the day, and doubly embellished at night by the moon."
71f72988,long_expressive:happy=0.6,1,62,318,[happy=0.6],"I shall never forget the first time I saw you-when I came to this country a lonely little foreigner,—and you, a great beautiful lady, for such you seemed to me, though you have told me since you were only a great gawky girl-I know that could never have been-you ran to meet me, and took me in your arms, and kissed me.","[happy=0.6] I shall never forget the first time I saw you-when I came to this country a lonely little foreigner,—and you, a great beautiful lady, for such you seemed to me, though you have told me since you were only a great gawky girl-I know that could never have been-you ran to meet me, and took me in your arms, and kissed me."
a3f885f7,long_expressive:happy=0.6,1,60,335,[happy=0.6],"Helen had not yet thought of asking herself whether her love to her brother was all clear love, and nowise mingled with selfishness-whether in the fresh horror that day poured into the cup that had seemed already running over, it was of her brother only she thought, or whether threatened shame to herself had not a part in her misery.","[happy=0.6] Helen had not yet thought of asking herself whether her love to her brother was all clear love, and nowise mingled with selfishness-whether in the fresh horror that day poured into the cup that had seemed already running over, it was of her brother only she thought, or whether threatened shame to herself had not a part in her misery."
ca93620f,long_expressive:happy=0.6,1,56,317,[happy=0.6],"The injuries to Dak Kova had delayed the march so greatly that it was decided to give up the expedition, which was a raid upon a small Thark community in retaliation for the destruction of the incubator, until after the great games, and the entire body of warriors, ten thousand in number, turned back toward Warhoon.","[happy=0.6] The injuries to Dak Kova had delayed the march so greatly that it was decided to give up the expedition, which was a raid upon a small Thark community in retaliation for the destruction of the incubator, until after the great games, and the entire body of warriors, ten thousand in number, turned back toward Warhoon."
417030be,long_expressive:overjoyed=0.6,1,64,399,[overjoyed=0.6],"To this, as I said before, the astrologers added stories of the conjunctions of planets in a malignant manner and with a mischievous influence, one of which conjunctions was to happen, and did happen, in October, and the other in November; and they filled the people's heads with predictions on these signs of the heavens, intimating that those conjunctions foretold drought, famine, and pestilence.","[overjoyed=0.6] To this, as I said before, the astrologers added stories of the conjunctions of planets in a malignant manner and with a mischievous influence, one of which conjunctions was to happen, and did happen, in October, and the other in November; and they filled the people's heads with predictions on these signs of the heavens, intimating that those conjunctions foretold drought, famine, and pestilence."
522119fb,long_expressive:overjoyed=0.6,1,62,340,[overjoyed=0.6],"He, on the other hand, now first found the realization of his dreams, and for a mere possibility which he had long too deeply contemplated, fearing, however, that in his own case it might prove a chimera, or that he might never meet a woman answering the demands of his heart, he now found a corresponding reality that left nothing to seek.","[overjoyed=0.6] He, on the other hand, now first found the realization of his dreams, and for a mere possibility which he had long too deeply contemplated, fearing, however, that in his own case it might prove a chimera, or that he might never meet a woman answering the demands of his heart, he now found a corresponding reality that left nothing to seek."
2fa1b016,long_expressive:overjoyed=0.6,1,51,289,[overjoyed=0.6],"Apart from my college work, I have written two books, one called ""Literary Lapses"" and the other ""Nonsense Novels."" Each of these is published by john Lane (London and New York), and either of them can be obtained, absurd though it sounds, for the mere sum of three shillings and sixpence.","[overjoyed=0.6] Apart from my college work, I have written two books, one called ""Literary Lapses"" and the other ""Nonsense Novels."" Each of these is published by john Lane (London and New York), and either of them can be obtained, absurd though it sounds, for the mere sum of three shillings and sixpence."
8113c78b,long_expressive:overjoyed=0.7,1,60,301,[overjoyed=0.7],"As the badger would collect and bring with it dried branches and dead leaves from the hills for firewood, the priest at last became very friendly with it, and got used to its company; so that if ever, as the night wore on, the badger did not arrive, he used to miss it, and wonder why it did not come.","[overjoyed=0.7] As the badger would collect and bring with it dried branches and dead leaves from the hills for firewood, the priest at last became very friendly with it, and got used to its company; so that if ever, as the night wore on, the badger did not arrive, he used to miss it, and wonder why it did not come."
6c28d121,long_expressive:playful=0.8,1,69,415,[playful=0.8],"I did not witness the first meeting of this mysterious Maximilian and this magnificent Margaret, and do not know whether Margaret manifested that trepidation and embarrassment which distressed so many of her youthful co rivals; but, if she did, it must have fled before the first glance of the young man's eye, which would interpret, past all misunderstanding, the homage of his soul and the surrender of his heart.","[playful=0.8] I did not witness the first meeting of this mysterious Maximilian and this magnificent Margaret, and do not know whether Margaret manifested that trepidation and embarrassment which distressed so many of her youthful co rivals; but, if she did, it must have fled before the first glance of the young man's eye, which would interpret, past all misunderstanding, the homage of his soul and the surrender of his heart."
3d7e923e,long_expressive:sarcasm=0.6,2,70,387,[disappointed=0.7] [sarcasm=0.6],"[disappointed=0.7, sarcasm=0.6] For when her page was serving the queen with a golden goblet, this knight struck the arm of the page and dashed the wine in the queen's face and over her stomacher. Then he said, ""If any have boldness to avenge this insult to Guenever, let him follow me to the meadow."" So the knight took his horse and rode to the meadow, carrying away the golden goblet.","[disappointed=0.7, sarcasm=0.6] For when her page was serving the queen with a golden goblet, this knight struck the arm of the page and dashed the wine in the queen's face and over her stomacher. Then he said, ""If any have boldness to avenge this insult to Guenever, let him follow me to the meadow."" So the knight took his horse and rode to the meadow, carrying away the golden goblet."
74332af3,long_expressive:sarcasm=0.6,1,64,360,[sarcasm=0.6],"It was under the action of this cylinder, charged with some explosive substance, nitro glycerine, picrate, or some other material of the same nature, that the water of the channel had been raised like a dome, the bottom of the brig crushed in, and she had sunk instantly, the damage done to her hull being so considerable that it was impossible to refloat her.","[sarcasm=0.6] It was under the action of this cylinder, charged with some explosive substance, nitro glycerine, picrate, or some other material of the same nature, that the water of the channel had been raised like a dome, the bottom of the brig crushed in, and she had sunk instantly, the damage done to her hull being so considerable that it was impossible to refloat her."
8cafcb83,long_expressive:sarcasm=0.6,2,63,314,[disappointed=0.7] [sarcasm=0.6],"[disappointed=0.7, sarcasm=0.6] He went to the broken glass; he filled the hole with a rag; he heaped the stove with peat; he spread out as far as he could the bear skin on the chest; took a large book which he had in a corner, placed it under the skin for a pillow, and laid the head of the sleeping infant on it.","[disappointed=0.7, sarcasm=0.6] He went to the broken glass; he filled the hole with a rag; he heaped the stove with peat; he spread out as far as he could the bear skin on the chest; took a large book which he had in a corner, placed it under the skin for a pillow, and laid the head of the sleeping infant on it."
a007b0ee,long_expressive:sarcasm=0.6,1,60,328,[sarcasm=0.6],"The mistake in my father, was in attacking my mother's motive, instead of the act itself; for certainly key holes were made for other purposes; and considering the act, as an act which interfered with a true proposition, and denied a key hole to be what it was-it became a violation of nature; and was so far, you see, criminal.","[sarcasm=0.6] The mistake in my father, was in attacking my mother's motive, instead of the act itself; for certainly key holes were made for other purposes; and considering the act, as an act which interfered with a true proposition, and denied a key hole to be what it was-it became a violation of nature; and was so far, you see, criminal."
6f9fd5ae,long_expressive:sarcasm=0.6,1,56,318,[sarcasm=0.6],"As yet none of the family had sufficient presence of mind to devise any means of security for Captain Wharton; but the danger now became too pressing to admit of longer delay, and various means of secreting him were hastily proposed; but they were all haughtily rejected by the young man, as unworthy of his character.","[sarcasm=0.6] As yet none of the family had sufficient presence of mind to devise any means of security for Captain Wharton; but the danger now became too pressing to admit of longer delay, and various means of secreting him were hastily proposed; but they were all haughtily rejected by the young man, as unworthy of his character."
2c11335f,long_expressive:sarcasm=0.6,1,53,311,[sarcasm=0.6],"One class of our citizens clamors for treaties impossible of fulfilment, and improper to fulfil; another class has no objection to the passage of these treaties so long as there is no concrete case to which they apply, but instantly oppose a veto on their application when any concrete case does actually arise.","[sarcasm=0.6] One class of our citizens clamors for treaties impossible of fulfilment, and improper to fulfil; another class has no objection to the passage of these treaties so long as there is no concrete case to which they apply, but instantly oppose a veto on their application when any concrete case does actually arise."
1cd6db40,long_expressive:sarcasm=0.7,2,71,364,[frustrated=0.7] [sarcasm=0.7],"[frustrated=0.7, sarcasm=0.7] I would call for her, and we would dine and go on to the theatre, often having supper as well; and by the end of the evening I had spent four or five louis, which came to two or three thousand francs a month, which reduced my year to three months and a half, and made it necessary for me either to go into debt or to leave Marguerite.","[frustrated=0.7, sarcasm=0.7] I would call for her, and we would dine and go on to the theatre, often having supper as well; and by the end of the evening I had spent four or five louis, which came to two or three thousand francs a month, which reduced my year to three months and a half, and made it necessary for me either to go into debt or to leave Marguerite."
72e936ba,long_expressive:sarcasm=0.7,1,67,382,[sarcasm=0.7],"At the end of another minute, the carriage load of maskers had their hands full, the multitude set to yelling, which is the crowd's caress to masquerades; and the two maskers who had just spoken had to face the throng with their comrades, and did not find the entire repertory of projectiles of the fishmarkets too extensive to retort to the enormous verbal attacks of the populace.","[sarcasm=0.7] At the end of another minute, the carriage load of maskers had their hands full, the multitude set to yelling, which is the crowd's caress to masquerades; and the two maskers who had just spoken had to face the throng with their comrades, and did not find the entire repertory of projectiles of the fishmarkets too extensive to retort to the enormous verbal attacks of the populace."
19a453eb,long_expressive:sarcasm=0.7,2,58,355,[frustrated=0.7] [sarcasm=0.7],"[frustrated=0.7, sarcasm=0.7] Yet all day he was aware of a sense of vague uneasiness, which sharpened into dismay when, late in the afternoon, he was informed that three gentlemen had called and were waiting for him in the surgery. A coroner's inquest, a descent of detectives, an invasion of angry relatives-all sorts of possibilities rose to scare him.","[frustrated=0.7, sarcasm=0.7] Yet all day he was aware of a sense of vague uneasiness, which sharpened into dismay when, late in the afternoon, he was informed that three gentlemen had called and were waiting for him in the surgery. A coroner's inquest, a descent of detectives, an invasion of angry relatives-all sorts of possibilities rose to scare him."
f635df5a,long_expressive:sarcasm=0.7,2,53,289,[frustrated=0.7] [sarcasm=0.7],"[frustrated=0.7, sarcasm=0.7] We have not half begun to wander over it: not half begun to hear the pleasant stories it has to tell. When one is as old as this-for Milton was discovered by a band from Plymouth who came up the Neponset River in sixteen twenty one—one has many tales to tell.","[frustrated=0.7, sarcasm=0.7] We have not half begun to wander over it: not half begun to hear the pleasant stories it has to tell. When one is as old as this-for Milton was discovered by a band from Plymouth who came up the Neponset River in sixteen twenty one—one has many tales to tell."
eaeb6028,long_expressive:sarcasm=0.7,3,53,337,[calm=0.8] [disappointed=0.7] [sarcasm=0.7],"[sarcasm=0.7, disappointed=0.7, calm=0.8] You couldn't, for example, have compared him with a man like Golgotha Gingham, who, as undertaker, stood in a direct relation to life and death, or to Trelawney, the postmaster, who drew money from the Federal Government of Canada, and was regarded as virtually a member of the Dominion Cabinet.","[sarcasm=0.7, disappointed=0.7, calm=0.8] You couldn't, for example, have compared him with a man like Golgotha Gingham, who, as undertaker, stood in a direct relation to life and death, or to Trelawney, the postmaster, who drew money from the Federal Government of Canada, and was regarded as virtually a member of the Dominion Cabinet."
7618b6c1,long_expressive:sarcasm=0.7,3,52,330,[calm=0.8] [disappointed=0.7] [sarcasm=0.7],"[sarcasm=0.7, disappointed=0.7, calm=0.8] These were all gladly received by the Vigilance Committee, and the hand of friendship warmly extended to them; and the best of counsel and encouragement was offered; material aid, food and clothing were also furnished as they had need, and they were sent on their way rejoicing to Canada.","[sarcasm=0.7, disappointed=0.7, calm=0.8] These were all gladly received by the Vigilance Committee, and the hand of friendship warmly extended to them; and the best of counsel and encouragement was offered; material aid, food and clothing were also furnished as they had need, and they were sent on their way rejoicing to Canada."
350fd3ea,long_expressive:teasing=0.6,1,54,301,[teasing=0.6],"That the true 'result of the natural style of gardening is seen rather in the absence of all defects and incongruities, than in the creation of any special wonders or miracles, ' is a proposition better suited to the grovelling apprehension of the herd, than to the fervid dreams of the man of genius.","[teasing=0.6] That the true 'result of the natural style of gardening is seen rather in the absence of all defects and incongruities, than in the creation of any special wonders or miracles, ' is a proposition better suited to the grovelling apprehension of the herd, than to the fervid dreams of the man of genius."
d14267ec,long_expressive:teasing=0.8,1,60,336,[teasing=0.8],"The girls immediately began to talk about picnics, and have them, too; for little hats sprung up in the fields like a new sort of mushroom,—every hillside bloomed with gay gowns, looking as if the flowers had gone out for a walk; and the woods were full of featherless birds chirping away as blithely as the thrushes, robins, and wrens.","[teasing=0.8] The girls immediately began to talk about picnics, and have them, too; for little hats sprung up in the fields like a new sort of mushroom,—every hillside bloomed with gay gowns, looking as if the flowers had gone out for a walk; and the woods were full of featherless birds chirping away as blithely as the thrushes, robins, and wrens."
c6f5492e,long_expressive:teasing=0.8,1,51,301,[teasing=0.8],"It is always so particularly easy to ""compound for sins we're most inclined to by damning those we have no mind to."" In any case, Montgomery felt that of all the men concerned in such a fight-promoters, backers, spectators-it is the actual fighter who holds the strongest and most honourable position.","[teasing=0.8] It is always so particularly easy to ""compound for sins we're most inclined to by damning those we have no mind to."" In any case, Montgomery felt that of all the men concerned in such a fight-promoters, backers, spectators-it is the actual fighter who holds the strongest and most honourable position."
5c58d1b6,multi_with_trigger:playful,2,68,401,[frustrated=0.6] [playful=0.5],"[frustrated=0.6, playful=0.5] A temperate current of blood ran orderly through her veins in all months of the year, and in all critical moments both of the day and night alike; nor did she superinduce the least heat into her humours from the manual effervescencies of devotional tracts, which having little or no meaning in them, nature is oft times obliged to find one-And as for my father's example!","[frustrated=0.6, playful=0.5] A temperate current of blood ran orderly through her veins in all months of the year, and in all critical moments both of the day and night alike; nor did she superinduce the least heat into her humours from the manual effervescencies of devotional tracts, which having little or no meaning in them, nature is oft times obliged to find one-And as for my father's example!"
274d84e8,multi_with_trigger:playful,2,66,423,[frustrated=0.6] [playful=0.5],"[frustrated=0.6, playful=0.5] But observe the melancholy result: the more certain did these arrangements strike people as remedies for the evil, so much the more effectually did they aid the terror, but, above all, the awe, the sense of mystery, when ten cases of total extermination, applied to separate households, had occurred, in every one of which these precautionary aids had failed to yield the slightest assistance.","[frustrated=0.6, playful=0.5] But observe the melancholy result: the more certain did these arrangements strike people as remedies for the evil, so much the more effectually did they aid the terror, but, above all, the awe, the sense of mystery, when ten cases of total extermination, applied to separate households, had occurred, in every one of which these precautionary aids had failed to yield the slightest assistance."
2bd17456,multi_with_trigger:playful,3,62,406,[frustrated=0.7] [playful=0.5] [sarcasm=0.7],"[sarcasm=0.7, frustrated=0.7, playful=0.5] Roc, as we have said in the beginning of this sketch, was a typical pirate; under certain circumstances he showed himself to have all those brave and savage qualities which Esquemeling esteemed and revered, and under other circumstances he showed those other qualities which Esquemeling despised, but which are necessary to make up the true character of a pirate.","[sarcasm=0.7, frustrated=0.7, playful=0.5] Roc, as we have said in the beginning of this sketch, was a typical pirate; under certain circumstances he showed himself to have all those brave and savage qualities which Esquemeling esteemed and revered, and under other circumstances he showed those other qualities which Esquemeling despised, but which are necessary to make up the true character of a pirate."
15d31df3,multi_with_trigger:playful,3,57,368,[frustrated=0.7] [playful=0.5] [sarcasm=0.7],"[sarcasm=0.7, frustrated=0.7, playful=0.5] Like their neighbors, they had followed Montcalm into the territories of the English crown, and were making heavy and serious inroads on the hunting grounds of the Mohawks; though they had seen fit, with the mysterious reserve so common among the natives, to withhold their assistance at the moment when it was most required.","[sarcasm=0.7, frustrated=0.7, playful=0.5] Like their neighbors, they had followed Montcalm into the territories of the English crown, and were making heavy and serious inroads on the hunting grounds of the Mohawks; though they had seen fit, with the mysterious reserve so common among the natives, to withhold their assistance at the moment when it was most required."
0d587d5d,multi_with_trigger:playful,3,54,335,[frustrated=0.7] [playful=0.5] [sarcasm=0.7],"[sarcasm=0.7, frustrated=0.7, playful=0.5] And then again come moments of sudden and universal clarity, when several such spirits of the inner world completely fuse together into a wonderful wedlock, and many a forgotten bit of our ego shines forth in a new light and even illuminates the darkness of the future with its bright lustre.","[sarcasm=0.7, frustrated=0.7, playful=0.5] And then again come moments of sudden and universal clarity, when several such spirits of the inner world completely fuse together into a wonderful wedlock, and many a forgotten bit of our ego shines forth in a new light and even illuminates the darkness of the future with its bright lustre."
bebe8f8f,multi_with_trigger:playful,3,51,279,[frustrated=0.7] [playful=0.5] [sarcasm=0.7],"[sarcasm=0.7, frustrated=0.7, playful=0.5] This Mink was a bachelor, and nobody knew why. Some people said it was because he was waiting to find a wife with a white tip on her tail, yet that could not have been, for he was too wise to wait for something which might never happen.","[sarcasm=0.7, frustrated=0.7, playful=0.5] This Mink was a bachelor, and nobody knew why. Some people said it was because he was waiting to find a wife with a white tip on her tail, yet that could not have been, for he was too wise to wait for something which might never happen."
4bfda49b,multi_with_trigger:playful,3,50,299,[frustrated=0.7] [playful=0.5] [sarcasm=0.7],"[sarcasm=0.7, frustrated=0.7, playful=0.5] In the meanwhile Sazen, who did not for a moment suspect what had happened, when the day which had been fixed upon by him and Genzaburo arrived, made O Koyo put on her best clothes, smartened up his house, and got ready a feast against Genzaburo's arrival.","[sarcasm=0.7, frustrated=0.7, playful=0.5] In the meanwhile Sazen, who did not for a moment suspect what had happened, when the day which had been fixed upon by him and Genzaburo arrived, made O Koyo put on her best clothes, smartened up his house, and got ready a feast against Genzaburo's arrival."
0c34584b,multi_with_trigger:playful,2,47,291,[frustrated=0.6] [playful=0.5],"[frustrated=0.6, playful=0.5] Nor would it be found easy suddenly to embark them, dispersed as they would be over thirteen States, in any combinations founded upon motives, which though they could not properly be denominated corrupt, might yet be of a nature to mislead them from their duty.","[frustrated=0.6, playful=0.5] Nor would it be found easy suddenly to embark them, dispersed as they would be over thirteen States, in any combinations founded upon motives, which though they could not properly be denominated corrupt, might yet be of a nature to mislead them from their duty."
f3cbe764,multi_with_trigger:playful,3,46,268,[frustrated=0.7] [playful=0.5] [sarcasm=0.7],"[sarcasm=0.7, frustrated=0.7, playful=0.5] In Oklahoma, at that hour of the day, the woods would be alive with song birds, even at this season; but here there are no song birds, and only the snapping of twigs, as our horses climbed the frosty trail, broke the silence.","[sarcasm=0.7, frustrated=0.7, playful=0.5] In Oklahoma, at that hour of the day, the woods would be alive with song birds, even at this season; but here there are no song birds, and only the snapping of twigs, as our horses climbed the frosty trail, broke the silence."
9fa72ab9,multi_with_trigger:playful,3,46,283,[frustrated=0.7] [playful=0.5] [sarcasm=0.7],"[sarcasm=0.7, frustrated=0.7, playful=0.5] Once again, on nearing the Camillus outlet from the narrow vale, I hear the sound of Sunday bells, and after the church bell less Western wilds, it seems to me that their notes have visited me amid beautiful scenes, strangely often of late.","[sarcasm=0.7, frustrated=0.7, playful=0.5] Once again, on nearing the Camillus outlet from the narrow vale, I hear the sound of Sunday bells, and after the church bell less Western wilds, it seems to me that their notes have visited me amid beautiful scenes, strangely often of late."
9526a93e,multi_with_trigger:playful,2,45,269,[frustrated=0.6] [playful=0.5],"[frustrated=0.6, playful=0.5] As you saw her swinging up the street to the Telephone Exchange in a suit that was straight out of the Delineator and brown American boots, there was style written all over her,—the kind of thing that Mariposa recognised and did homage to.","[frustrated=0.6, playful=0.5] As you saw her swinging up the street to the Telephone Exchange in a suit that was straight out of the Delineator and brown American boots, there was style written all over her,—the kind of thing that Mariposa recognised and did homage to."
8c29cf9f,multi_with_trigger:playful,3,44,296,[frustrated=0.7] [playful=0.5] [sarcasm=0.7],"[sarcasm=0.7, frustrated=0.7, playful=0.5] With large business sagacity and an executive capacity which must have been inherited from their father, they now proposed to extend their operations to a larger area and distribute soap to contiguous villages, if these villages could be induced to buy.","[sarcasm=0.7, frustrated=0.7, playful=0.5] With large business sagacity and an executive capacity which must have been inherited from their father, they now proposed to extend their operations to a larger area and distribute soap to contiguous villages, if these villages could be induced to buy."
0852309e,multi_with_trigger:playful,2,42,249,[frustrated=0.6] [playful=0.5],"[frustrated=0.6, playful=0.5] It was a dreadful blow to Mrs. Cluck; and Aunt Cockletop didn't show herself for a whole day after that story was known, for every fowl in the yard twitted her with the difference between her preaching and her practice.","[frustrated=0.6, playful=0.5] It was a dreadful blow to Mrs. Cluck; and Aunt Cockletop didn't show herself for a whole day after that story was known, for every fowl in the yard twitted her with the difference between her preaching and her practice."
c0a5befc,multi_with_trigger:playful,2,41,245,[frustrated=0.6] [playful=0.5],"[frustrated=0.6, playful=0.5] Tied together, and secured in a network of string, were five or six human heads, blackened, shriveled faces, which seemed to grin horribly as they swung deeply from side to side, lit up by the flicker of the flames.","[frustrated=0.6, playful=0.5] Tied together, and secured in a network of string, were five or six human heads, blackened, shriveled faces, which seemed to grin horribly as they swung deeply from side to side, lit up by the flicker of the flames."
cd010642,multi_with_trigger:playful,3,39,267,[frustrated=0.7] [playful=0.5] [sarcasm=0.7],"[sarcasm=0.7, frustrated=0.7, playful=0.5] This exaltation and this progress are spiritual states and intellectual realities, but to explain them you are obliged to have recourse to sensible figures because in the exterior world there is nothing that is not sensible.","[sarcasm=0.7, frustrated=0.7, playful=0.5] This exaltation and this progress are spiritual states and intellectual realities, but to explain them you are obliged to have recourse to sensible figures because in the exterior world there is nothing that is not sensible."
92c615dd,multi_with_trigger:playful,2,38,257,[frustrated=0.6] [playful=0.5],"[frustrated=0.6, playful=0.5] A good conscience, a congenial home, and a serious purpose are after all the safest conditions for a healthy mind, and the community works in preventive psychotherapy wherever it facilitates the securing of these three factors.","[frustrated=0.6, playful=0.5] A good conscience, a congenial home, and a serious purpose are after all the safest conditions for a healthy mind, and the community works in preventive psychotherapy wherever it facilitates the securing of these three factors."
